f1,f2,f3,f4,f5,f6,Stage
6.6439,10.374,2.1295,0.84238,2.1295,0.0082008,0
6.7839,11.622,2.4104,0.99219,2.4104,0.018756,0
4.327,11.316,3.3855,1.9588,3.3855,0.084802,0
5.6605,20.34,3.8814,0.96033,3.8814,0.027046,0
6.0995,18.882,3.6528,0.99001,3.6528,0.024433,0
7.1098,16.722,3.1735,1.0875,3.1735,0.015331,0
6.6567,12.647,2.2453,0.84442,2.2453,0.008403,0
6.2486,15.163,2.5318,0.87867,2.5318,0.016939,0
5.2786,16.63,3.1471,1.0192,3.1471,0.032948,0
5.2474,17.044,3.2516,1.0508,3.2516,0.034846,0
4.9731,24.916,4.9761,0.92581,4.9761,0.018872,0
6.3047,20.318,3.4877,0.96344,3.4877,0.015517,0
6.8398,19.484,3.2004,1.0068,3.2004,0.011559,0
5.8793,20.201,3.1921,0.85789,3.1921,0.011906,0
4.4106,25.266,4.9823,0.92091,4.9823,0.015875,0
5.86,20.197,3.4876,0.96773,3.4876,0.019033,0
6.2537,15.864,2.5353,0.88312,2.5353,0.016611,0
5.1607,19.279,3.4939,0.94892,3.4939,0.018128,0
1.8867,0.8058,0.16862,0.082916,0.16862,0.0025444,0
1.9189,1.0453,0.20907,0.10861,0.20907,0.0033651,0
1.9456,0.84212,0.17433,0.095535,0.17433,0.0029203,0
2.6401,1.896,0.3799,0.23408,0.3799,0.010633,0
3.0236,2.6415,0.48826,0.3078,0.48826,0.0093923,0
3.4681,3.4935,0.63916,0.39175,0.63916,0.011575,0
3.0399,2.7521,0.51353,0.29555,0.51353,0.0082724,0
2.0616,1.4612,0.31659,0.17236,0.31659,0.0064606,0
2.6575,2.0683,0.39451,0.25236,0.39451,0.012174,0
4.4322,6.0967,0.83245,0.53501,0.83245,0.019267,0
4.9346,5.8531,1.0185,0.634,1.0185,0.019638,0
3.2494,3.1288,0.58208,0.33224,0.58208,0.0094289,0
2.5681,2.8824,0.56294,0.33714,0.56294,0.01381,0
3.9408,5.374,0.94352,0.91047,0.94352,0.064682,0
5.0923,9.0847,1.012,0.67991,1.012,0.024364,0
5.2429,6.8454,1.039,0.62599,1.039,0.016227,0
4.5433,6.6624,1.1542,0.57901,1.1542,0.01587,0
3.1894,4.9416,0.91083,0.55792,0.91083,0.024555,0
4.8527,11.032,1.2894,1.1386,1.2894,0.064594,0
5.8813,12.728,1.2357,0.9198,1.2357,0.032098,0
5.3381,8.6962,1.1506,0.72075,1.1506,0.017388,0
4.885,9.2285,1.3415,0.69781,1.3415,0.018938,0
3.9761,7.8228,1.2337,0.76783,1.2337,0.029983,0
5.0498,15.316,1.5785,1.1626,1.5785,0.044297,0
5.1451,14.946,1.5244,1.1409,1.5244,0.041862,0
5.4082,14.953,1.521,1.1403,1.521,0.040013,0
5.3471,10.997,1.3966,0.89694,1.3966,0.02041,0
4.8894,11.497,1.375,0.81474,1.375,0.021676,0
4.6632,11.165,1.3492,0.80043,1.3492,0.022266,0
