,f1,f2,f3,f4,f5,f6,Stage
376,1.5627,2.4714,2.3541,2.4949,2.3541,0.38293,1
377,2.4063,2.7314,2.4832,2.1877,2.4832,0.30896,1
378,1.7335,2.3199,2.149,2.2663,2.149,0.33514,1
379,1.6499,2.526,2.3733,2.5083,2.3733,0.38793,1
380,3.9587,1.4495,0.75285,0.61749,0.75285,0.028021,1
381,4.6735,2.0064,0.92466,0.66624,0.92466,0.022385,1
382,4.1263,1.6377,0.68525,0.60074,0.68525,0.019329,1
383,3.2902,1.1234,0.72114,0.8045,0.72114,0.043528,1
384,5.4054,2.5449,1.2028,0.99186,1.2028,0.037347,1
385,5.122,2.4394,1.1122,0.7622,1.1122,0.024589,1
386,3.8857,2.4744,0.93587,0.87358,0.93587,0.027701,1
387,2.2277,1.2362,0.81789,1.0877,0.81789,0.067921,1
388,2.9701,1.1019,0.67888,0.74166,0.67888,0.035002,1
389,4.7133,2.9918,1.1761,0.93853,1.1761,0.038018,1
390,4.9476,2.9292,1.231,0.78439,1.231,0.026761,1
391,3.6285,4.2384,1.1304,0.99113,1.1304,0.029833,1
392,1.592,0.9889,0.67183,0.67596,0.67183,0.039506,1
393,2.9133,1.2492,0.8697,1.5103,0.8697,0.080961,1
394,4.1605,4.9154,1.4787,1.0789,1.4787,0.052969,1
395,4.2362,4.7044,1.3208,0.77761,1.3208,0.026035,1
396,3.3144,4.3228,1.1106,0.85396,1.1106,0.029682,1
397,1.5153,1.4203,1.2721,1.4668,1.2721,0.092046,1
398,1.652,1.1834,0.78636,0.81292,0.78636,0.056896,1
399,3.9985,5.3246,1.705,1.2349,1.705,0.072637,1
400,3.3264,4.6031,1.3606,0.76615,1.3606,0.036927,1
401,3.2081,4.6385,1.2928,0.8286,1.2928,0.039224,1
402,1.1084,1.0455,0.71656,0.76582,0.71656,0.045378,1
403,2.8874,3.1433,1.4483,1.2385,1.4483,0.1148,1
404,2.8627,3.2783,1.5929,1.3042,1.5929,0.115,1
405,3.8542,5.4065,1.8077,1.3071,1.8077,0.087236,1
406,3.1379,4.2435,1.3159,0.78446,1.3159,0.045509,1
407,3.309,4.3407,1.3488,0.86878,1.3488,0.045624,1
408,2.2078,2.6026,0.93281,0.66788,0.93281,0.037192,1
409,1.9735,1.9059,0.84167,0.7314,0.84167,0.041263,1
410,2.9077,3.2057,1.4835,1.2926,1.4835,0.12549,1
411,2.9841,3.5439,1.6675,1.5819,1.6675,0.21469,1
412,3.0513,3.6571,1.3551,1.1375,1.3551,0.11927,1
413,3.2089,3.3323,1.2749,0.99782,1.2749,0.065707,1
414,3.0027,2.7521,1.1517,0.93356,1.1517,0.055243,1
415,2.4131,2.7088,1.184,1.0828,1.184,0.10944,1
416,3.0144,2.6813,1.1844,0.90117,1.1844,0.050691,1
417,2.4031,2.1751,0.92472,0.72843,0.92472,0.040705,1
418,0.14259,0.042845,0.02331,0.014365,0.02331,0.0014269,1
419,0.5049,0.17262,0.10381,0.066865,0.10381,0.0042473,1
420,1.3125,0.50985,0.31549,0.21551,0.31549,0.011188,1
421,0.90015,0.36461,0.24579,0.20006,0.24579,0.013479,1
422,3.3861,1.4675,0.86758,0.64592,0.86758,0.033033,1
423,2.3202,1.2126,0.7758,0.72041,0.7758,0.050134,1
424,0.17725,0.068293,0.041269,0.029432,0.041269,0.0026396,1
425,3.6794,1.8785,1.07,0.82867,1.07,0.045279,1
426,0.16926,0.066931,0.038588,0.030295,0.038588,0.0025213,1
427,1.0919,0.6505,0.39963,0.34903,0.39963,0.024851,1
428,0.21816,0.090585,0.055202,0.037825,0.055202,0.003731,1
429,0.96604,0.76895,0.46979,0.39174,0.46979,0.032042,1
430,0.45436,0.45753,0.31312,0.27285,0.31312,0.032246,1
431,0.53417,0.57165,0.39006,0.33712,0.39006,0.039259,1
432,0.89309,0.93459,0.5958,0.47034,0.5958,0.044448,1
433,0.54465,0.76079,0.52524,0.4842,0.52524,0.062174,1
434,0.077108,0.081752,0.052536,0.043329,0.052536,0.0055291,1
435,1.107,2.0249,1.3039,1.039,1.3039,0.1194,1
436,0.6575,1.3357,0.89475,0.83298,0.89475,0.11245,1
437,1.1633,0.43183,0.27104,0.20898,0.27104,0.014985,1
438,2.0178,0.85697,0.58472,0.51004,0.58472,0.037723,1
439,1.4026,0.54149,0.35288,0.26637,0.35288,0.017855,1
440,2.0204,0.93509,0.63032,0.57828,0.63032,0.044343,1
441,0.40671,0.16724,0.11597,0.10362,0.11597,0.0094696,1
442,2.0269,1.1458,0.79026,0.62795,0.79026,0.044761,1
443,1.8255,1.1209,0.74463,0.70243,0.74463,0.058604,1
444,1.4026,0.54149,0.35288,0.26637,0.35288,0.017855,1
445,1.9235,1.3954,0.94774,0.7296,0.94774,0.058206,1
446,1.7122,1.2986,0.8706,0.76994,0.8706,0.068663,1
447,1.4026,0.54149,0.35288,0.26637,0.35288,0.017855,1
448,1.696,1.7863,1.1907,0.90014,1.1907,0.085101,1
449,1.7013,1.789,1.2501,0.91601,1.2501,0.086971,1
450,0.84363,0.79239,0.57899,0.43268,0.57899,0.042534,1
451,1.4026,0.54149,0.35288,0.26637,0.35288,0.017855,1
452,1.3138,2.27,1.6681,1.278,1.6681,0.14372,1
453,0.58043,0.74334,0.60622,0.45603,0.60622,0.049989,1
454,0.94549,1.8773,1.3057,1.1266,1.3057,0.1455,1
455,0.93617,1.7102,1.2636,0.99547,1.2636,0.11708,1
